case,location,date,fatalities,injured,total_victims,location.1,age_of_shooter,prior_signs_mental_health_issues,weapons_obtained_legally,weapon_type,race,gender,latitude,longitude,type,year,date_parsed
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",2/15/19,5,6,11,Workplace,45,Yes,No,handgun,Black,M,41.753725,-88.331057,Mass,2019,2019-02-15
Pennsylvania hotel bar shooting,"State College, Pennsylvania",1/24/19,3,1,4,Other,21,-,Yes,handgun,White,M,40.785142,-77.839411,Spree,2019,2019-01-24
SunTrust bank shooting,"Sebring, Florida",1/23/19,5,0,5,Workplace,21,Yes,Yes,handgun,White,M,27.471043,-81.45847,Mass,2019,2019-01-23
Mercy Hospital shooting,"Chicago, Illinois",11/19/18,3,0,3,Workplace,32,-,-,semiautomatic handgun,Latino,M,41.847667,-87.622009,Mass,2018,2018-11-19
Thousand Oaks nightclub shooting,"Thousand Oaks, California",11/7/18,12,22,34,Other,28,Yes,Yes,semiautomatic handgun,-,M,34.176946,-118.874793,Mass,2018,2018-11-07
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",10/27/18,11,6,17,Religious,46,-,Yes,semiautomatic rifle; semiautomatic handguns,White,M,40.443898,-79.921398,Mass,2018,2018-10-27
Rite Aid warehouse shooting,"Perryman, Maryland",9/20/18,3,3,6,Workplace,26,-,Yes,semiautomatic handgun,Black,F,39.455658,-76.208485,Mass,2018,2018-09-20
T&T Trucking shooting,"Bakersfield, California",9/12/18,5,0,5,Workplace,54,-,Yes,handgun,Latino,M,35.349388,-118.916335,Spree,2018,2018-09-12
Fifth Third Center shooting,"Cincinnati, Ohio",9/6/18,3,2,5,Workplace,29,Yes,Yes,semiautomatic handgun,Latino,M,39.101981,-84.511782,Mass,2018,2018-09-06
Capital Gazette shooting,"Annapolis, Maryland",6/28/18,5,2,7,Workplace,38,-,Yes,shotgun,White,M,38.994548,-76.543657,Mass,2018,2018-06-28
Santa Fe High School shooting,"Santa Fe, Texas",5/18/18,10,13,23,School,17,-,TBD,shotgun; .38 revolver,White,M,29.392825,-95.141972,Mass,2018,2018-05-18
Waffle House shooting,"Nashville, Tennessee",4/22/18,4,4,8,Other,29,Yes,Yes,semiautomatic rifle,White,M,36.052521,-86.616944,Mass,2018,2018-04-22
